date,filing_date,currency_symbol,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2022-12-31,2022-12-31,2023-01-31,USD,3075000000.00,,13719000000.00,-4000000.00,12583000000.00,3946000000.00,,20853000000.00,3747000000.00,13656000000.00,17833000000.00,4177000000.00,,13656000000.00,67630000000.00,191000000.00,1132000000.00,41000000.00,106000000.00,,,,1132000000.00,81462000000.00,7021000000.00,60609000000.00,63000000.00,,12587000000.00,12583000000.00,
2021-12-31,2021-12-31,2022-02-07,USD,2593000000.00,,6343000000.00,125000000.00,5519000000.00,4517000000.00,,13606000000.00,2911000000.00,6687000000.00,9598000000.00,2911000000.00,191000000.00,6687000000.00,47327000000.00,371000000.00,699000000.00,56000000.00,-315000000.00,,,,699000000.00,53823000000.00,7110000000.00,40217000000.00,-344000000.00,,5644000000.00,5519000000.00,
2020-12-31,2020-12-31,2021-02-08,USD,1491000000.00,,1154000000.00,1454000000.00,690000000.00,3145000000.00,,6630000000.00,2322000000.00,1994000000.00,4224000000.00,2230000000.00,,1994000000.00,29542000000.00,748000000.00,292000000.00,30000000.00,-718000000.00,,,,292000000.00,31536000000.00,4636000000.00,24906000000.00,-840000000.00,,862000000.00,690000000.00,
2019-12-31,2019-12-31,2020-02-13,USD,1343000000.00,,-665000000.00,1492000000.00,-775000000.00,2646000000.00,,4069000000.00,2154000000.00,169000000.00,2323000000.00,2154000000.00,,169000000.00,24498000000.00,685000000.00,110000000.00,44000000.00,-641000000.00,,,,110000000.00,24578000000.00,3989000000.00,20509000000.00,-834000000.00,,-775000000.00,-870000000.00,
2018-12-31,2018-12-31,2019-02-19,USD,1460370000.00,,-1004745000.00,1390000000.00,-976091000.00,2834491000.00,,4042021000.00,1901050000.00,-206441000.00,1694609000.00,1901050000.00,,-388073000.00,21714108000.00,663071000.00,57837000.00,24533000.00,-638538000.00,,,,57837000.00,21461268000.00,4294861000.00,17419247000.00,-113367000.00,,-1062582000.00,-976000000.00,
2017-12-31,2017-12-31,2018-02-23,USD,1378073000.00,,-2209032000.00,1395080000.00,-1961400000.00,2476500000.00,,2222487000.00,1636003000.00,-1737773000.00,-101770000.00,1636003000.00,,-1632086000.00,13390837000.00,471259000.00,31546000.00,19686000.00,-451573000.00,-722646000.00,,,31546000.00,11758751000.00,3854573000.00,9536264000.00,-125373000.00,,-2240578000.00,-1962000000.00,
2016-12-31,2016-12-31,2017-03-01,USD,834408000.00,,-746348000.00,,-674914000.00,1432189000.00,,1599257000.00,,-547538000.00,399561000.00,947099000.00,,-667340000.00,7667472000.00,198810000.00,26698000.00,164180000.00,,,,,26698000.00,7000132000.00,2266597000.00,5400875000.00,111272000.00,,,-674914000.00,
2015-12-31,2015-12-31,2016-02-24,USD,717900000.00,,-875624000.00,,-888663000.00,922232000.00,,923503000.00,,-1179363000.00,-756773000.00,422590000.00,,-716629000.00,4762653000.00,118851000.00,,,,,,,13039000.00,4046024000.00,1640132000.00,3122521000.00,-41652000.00,,,,
2014-12-31,2014-12-31,2015-02-26,USD,464700000.00,,-284636000.00,,-294040000.00,603660000.00,,881671000.00,,-415681000.00,-183750000.00,231931000.00,,-186689000.00,3385045000.00,100886000.00,,,,,,,9404000.00,3198356000.00,1068360000.00,2316685000.00,1813000.00,,,,
2013-12-31,2013-12-31,2014-02-26,USD,231976000.00,,-71426000.00,,-74014000.00,285569000.00,,456262000.00,,-144575000.00,-38492000.00,106083000.00,,-61283000.00,2074779000.00,32934000.00,,,,,,,2588000.00,2013496000.00,517545000.00,1557234000.00,22602000.00,,,,
2012-12-31,2012-12-31,2013-03-07,USD,273978000.00,,-396077000.00,,-396213000.00,150372000.00,,30067000.00,,-424648000.00,-395823000.00,28825000.00,,-394283000.00,807539000.00,254000.00,,,,,,,136000.00,413256000.00,424350000.00,383189000.00,-1828000.00,,,,
2011-12-31,2011-12-31,2012-02-27,USD,208981000.00,,-253922000.00,,-254411000.00,104102000.00,,61595000.00,,-251233000.00,-234314000.00,16919000.00,,-251488000.00,455730000.00,43000.00,,,,,,,489000.00,204242000.00,313083000.00,142647000.00,-2646000.00,,,,
2010-12-31,2010-12-31,2011-03-03,USD,92996000.00,,-154155000.00,,-154328000.00,84573000.00,,30731000.00,,-146580000.00,-135957000.00,10623000.00,,-146838000.00,263582000.00,992000.00,,,,,,,173000.00,116744000.00,177569000.00,86013000.00,-6583000.00,,,,
2009-12-31,2009-12-31,2009-12-31,USD,19282000.00,,-55714000.00,,-55740000.00,,,9535000.00,,-51738000.00,-44798000.00,6940000.00,,-51897000.00,163840000.00,2531000.00,,,,,,,26000.00,111943000.00,61432000.00,102408000.00,-1445000.00,,,,
2008-12-31,2008-12-31,2008-12-31,USD,53714000.00,,-82685000.00,,-82782000.00,,,-1141000.00,,-77975000.00,-73818000.00,4157000.00,,-78504000.00,93246000.00,3747000.00,,,,,,,97000.00,14742000.00,77363000.00,15883000.00,-963000.00,,,,
2007-12-31,2007-12-31,2007-12-31,USD,62753000.00,,-78047000.00,,-78157000.00,,,64000.00,,-78184000.00,-75289000.00,2895000.00,,-79933000.00,80006000.00,1749000.00,,,,,,,110000.00,73000.00,79997000.00,9000.00,137000.00,,,,
